Day,Forecast_Close,Forecast_Date
1,136.15608,2025-01-01
2,141.24696,2025-01-02
3,140.49022,2025-01-03
4,142.50587,2025-01-06
5,141.44637,2025-01-07
6,142.81177,2025-01-08
7,143.70987,2025-01-09
8,141.00156,2025-01-10
9,141.42596,2025-01-13
10,141.55724,2025-01-14
11,136.96387,2025-01-15
12,137.00941,2025-01-16
13,140.61821,2025-01-17
14,142.30724,2025-01-20
15,146.81581,2025-01-21
16,146.73593,2025-01-22
17,145.35103,2025-01-23
18,145.86136,2025-01-24
19,148.17966,2025-01-27
20,150.18277,2025-01-28
21,145.3664,2025-01-29
22,142.82838,2025-01-30
23,145.6012,2025-01-31
24,146.94402,2025-02-03
25,145.96739,2025-02-04
26,144.07274,2025-02-05
27,142.545,2025-02-06
28,143.57439,2025-02-07
29,139.04443,2025-02-10
30,140.65652,2025-02-11
31,137.3309,2025-02-12
32,138.62173,2025-02-13
33,134.72421,2025-02-14
34,135.52354,2025-02-17
35,133.7198,2025-02-18
36,133.10725,2025-02-19
37,136.61006,2025-02-20
38,141.32785,2025-02-21
39,137.17915,2025-02-24
40,136.58311,2025-02-25
41,132.60323,2025-02-26
42,133.98666,2025-02-27
43,133.24231,2025-02-28
44,131.06612,2025-03-03
45,131.75978,2025-03-04
46,132.95345,2025-03-05
47,133.72649,2025-03-06
48,135.17532,2025-03-07
49,135.25377,2025-03-10
50,135.28606,2025-03-11
